timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
"23cbca5c801ea84c79e1ca01092d3d4a571637a3e8e2d6fc9bf5fb0a666edfb9 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",cfd7fd1b-b5b1-4de9-8c3f-5b05588772b6,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,60+,Female,yes,Definitely does,Don't know,"No, never",between true and untrue,very untrue,NA,NA,NA,NA,NA,NA,1,0
648e7d78ca29ea2d95c6b8888e30bd9e8594fb102f31275a5113145406966027 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,3f40e8fc-12ad-4a9c-86a3-0b69b0420ef9,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Don’t know,Probably yes,Only a few times,between true and untrue,very untrue,1,right,right,erotic,true,t,1,0
6b9eb45a516256dead91cbc7e1bfee90aa4241f566c29afe6d65ad8454a351f9 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,3f40e8fc-12ad-4a9c-86a3-0b69b0420ef9,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Don’t know,Probably yes,Only a few times,between true and untrue,very untrue,2,left,right,neutral,false,t,1,0
78f97c45ae74b40e7019bdbe01fa285bfb1b9837d1ee4240c068fb883e49ca0e Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,3f40e8fc-12ad-4a9c-86a3-0b69b0420ef9,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Don’t know,Probably yes,Only a few times,between true and untrue,very untrue,3,left,left,neutral,true,t,1,0
d2f88c418fe3e00ed822bbea89c74716f0c74e10023319eefea7ceb05807b0c5 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,3f40e8fc-12ad-4a9c-86a3-0b69b0420ef9,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Don’t know,Probably yes,Only a few times,between true and untrue,very untrue,4,left,right,erotic,false,t,1,0
eb8b162807a04e3113738d3a3181fb7c4fcf292bafa090b266b2394e353a1270 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,3f40e8fc-12ad-4a9c-86a3-0b69b0420ef9,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Don’t know,Probably yes,Only a few times,between true and untrue,very untrue,5,left,right,neutral,false,t,1,0
3c6188920c61246e89e2cf3afe9f6a2874367425c7e4c62c0ac8d3be9cf05540 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,3f40e8fc-12ad-4a9c-86a3-0b69b0420ef9,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Don’t know,Probably yes,Only a few times,between true and untrue,very untrue,6,right,right,neutral,true,t,1,0
774ca60dc6cfea1044b29ede08f5aad20c2f99dbb54534d9eef668062039e364 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,3f40e8fc-12ad-4a9c-86a3-0b69b0420ef9,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Don’t know,Probably yes,Only a few times,between true and untrue,very untrue,7,right,left,erotic,false,t,1,0
4c9b1da20e325fb82981555b7d5153e3608db78054e35e87933b7c9158818ac0 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,3f40e8fc-12ad-4a9c-86a3-0b69b0420ef9,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Don’t know,Probably yes,Only a few times,between true and untrue,very untrue,8,right,right,neutral,true,t,1,0
15c54d1a8f2b78b0034912d7818bdbc6ddbd6c1a56a7de313cf37f277f9be823 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,3f40e8fc-12ad-4a9c-86a3-0b69b0420ef9,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Don’t know,Probably yes,Only a few times,between true and untrue,very untrue,9,left,left,erotic,true,t,1,0
