timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
"f48db7939372a481ea9918b1f2443266bbb82369cd9ab769dc17ebe0deb4bb9d Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,20,right,right,erotic,true,t,1,0
"136f8947cbe8dc0f2e5fd8acaf84d158c9e007086ed0bff330df9dcf60040f38 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,21,left,left,neutral,true,t,1,0
"4d9df5caec91210176f9410a4b692c0ef523cfedd3ba09cd4a243a883ea81191 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,22,right,left,neutral,false,t,1,0
"9bae9b36c700324c9355e1dfb126466b368f9e0accb8389d7480833037be07fc Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,23,left,right,erotic,false,t,1,0
"818735535d3fa5b6b61be5dad25b77ef6ae999655d372a0d252c503cdbcb59e8 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,24,left,left,erotic,true,t,1,0
"6455e95a4b4314401b16ec3fba8db1077d538ea1e520e957eebcedc78a2a0ecd Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,25,left,right,erotic,false,t,1,0
"0ffb84b7c0187fd8df2f27b0370f679ccd43b2d9762c31674ab997448e813247 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,26,left,left,neutral,true,t,1,0
"a6e7f745c049025a12b0514f02ecdc18ee278324672ea3ac7b25355fa6563e1b Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,27,right,left,erotic,false,t,1,0
"80d4b61a1d3971a9d1ef12f57e35587517e7279929af467c0611d2c90a9d834c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,28,left,right,neutral,false,t,1,0
"c3cd70d923145002aaba0be0a644f8ba8136d24f1c6926c84708687b4ad2662c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,29,right,right,neutral,true,t,1,0
"22fe421a6f73f94688aeb50450fbd15eb608867d8295d5bfc445cdfe5af66803 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",11321554-35b0-4351-ab29-e31334e20a19,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,45-59,Female,yes,Don’t know,Don't know,Occasionally,very true,untrue,30,left,right,erotic,false,t,1,0
