ID,session_type,type
216667823735032,bilendi,screen out
216667823735032,bilendi,screen out
216667823734000,bilendi,success
123123,bilendi,screen out
216667823735030,bilendi,screen out
216667823732975,bilendi,screen out
216667823732975,bilendi,screen out
216667823732975,bilendi,screen out
216667823735031,bilendi,screen out
216667823735029,bilendi,success
123342,bilendi,screen out
216667823735027,bilendi,screen out
216667823735027,bilendi,screen out
216667823732975,bilendi,screen out
123342,bilendi,screen out
