ID,session_type,type
225959430404133,bilendi,screen out
219411744615526,bilendi,screen out
225608317158400,bilendi,success
225959430214720,bilendi,screen out
225709875153117,bilendi,success
224806121744421,bilendi,success
225959429888102,bilendi,screen out
225959429925093,bilendi,success
225959430382771,bilendi,success
225959429902491,bilendi,success
225959430082561,bilendi,success
225959430046846,bilendi,success
225959430013960,bilendi,success
225959430139114,bilendi,success
225959430032461,bilendi,screen out
225446868821009,bilendi,success
225959430296714,bilendi,success
225959430373409,bilendi,success
225959429952580,bilendi,success
225959430014989,bilendi,success
225608317207654,bilendi,success
225959429951552,bilendi,success
225959429896324,bilendi,success
225959430277349,bilendi,screen out
225959430029374,bilendi,success
225959429925092,bilendi,screen out
224992915360994,bilendi,success
225959430089767,bilendi,success
225959430404128,bilendi,success
225959430380683,bilendi,success
221807317382218,bilendi,success
